App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Avg_Polarity,Avg_Subjectivity,Review_Count
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67.0,10000000,Free,0.0,Everyone,Health & Fitness,"July 11, 2018",3.5.0,5.0 and up,0.2648642413061273,0.5346484758473062,171
Couch to 10K Running Trainer,HEALTH_AND_FITNESS,4.6,10445,48.0,500000,Free,0.0,Everyone,Health & Fitness,"July 2, 2018",112.0,4.4 and up,0.3373787910997732,0.5205262651534973,40
"Home workouts - fat burning, abs, legs, arms,chest",HEALTH_AND_FITNESS,4.3,4848,13.0,1000000,Free,0.0,Everyone,Health & Fitness,"July 18, 2018",2.6,4.1 and up,0.4482204861111111,0.5969551282051282,8
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31.0,5000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",3.48,4.1 and up,0.1919959420952724,0.5265805589912732,40
7 Minute Workout,HEALTH_AND_FITNESS,4.5,399009,,10000000,Free,0.0,Everyone,Health & Fitness,"June 8, 2018",Varies with device,Varies with device,0.4102777777777777,0.6212481962481963,11
Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25.0,10000000,Free,0.0,Everyone,Health & Fitness,"August 3, 2018",5.3,5.0 and up,0.2742506820436508,0.4637062872023809,32
Daily Workouts - Exercise Fitness Routine Trainer,HEALTH_AND_FITNESS,4.4,134195,,10000000,Free,0.0,Everyone,Health & Fitness,"June 14, 2018",Varies with device,Varies with device,0.8,0.75,1
Google Fit - Fitness Tracking,HEALTH_AND_FITNESS,3.9,249855,,10000000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",Varies with device,Varies with device,0.1300530303030303,0.4778642676767677,40
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67.0,10000000,Free,0.0,Everyone,Health & Fitness,"July 11, 2018",3.5.0,5.0 and up,0.2648642413061273,0.5346484758473062,171
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35.0,5000000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.2570176467051467,0.5669227994227994,12
Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,4.9,28945,12.0,500000,Free,0.0,Teen,Health & Fitness,"May 17, 2018",2.6.1,4.2 and up,0.2918472637721826,0.5268369912690124,40
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15.0,100000,Free,0.0,Everyone,Health & Fitness,"August 2, 2018",3.0.0,4.1 and up,0.2580136784511784,0.5510479902042402,80
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111450,,5000000,Free,0.0,Everyone,Health & Fitness,"August 5, 2018",Varies with device,Varies with device,0.2895242009211789,0.5233274820417678,65
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39.0,10000000,Free,0.0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,0.2270075757575757,0.4214772727272727,11
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35.0,5000000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.2570176467051467,0.5669227994227994,12
Best Ovulation Tracker Fertility Calendar App Glow,HEALTH_AND_FITNESS,4.6,56145,23.0,1000000,Free,0.0,Everyone,Health & Fitness,"August 1, 2018",7.3.4-play,5.0 and up,0.5953125,0.5416666666666666,1
"Eve Period Tracker - Love, Sex & Relationships App",HEALTH_AND_FITNESS,4.6,20326,28.0,1000000,Free,0.0,Teen,Health & Fitness,"August 4, 2018",2.9.18,4.1 and up,0.5050367080835831,0.501774753024753,26
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873523,,50000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.2156735153683997,0.4729520986061961,255
Couch to 5K by RunDouble,HEALTH_AND_FITNESS,4.7,15674,6.1,1000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",4.5.4,4.1 and up,0.2773264222549936,0.4943462357748072,39
Fooducate Healthy Weight Loss & Calorie Counter,HEALTH_AND_FITNESS,4.4,14402,,1000000,Free,0.0,Everyone,Health & Fitness,"August 3, 2018",Varies with device,Varies with device,0.3542169233582048,0.4977620327410244,37
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873520,,50000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.2156735153683997,0.4729520986061961,255
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19.0,1000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",6.5.1,5.0 and up,0.3758419955914817,0.5599666010020583,139
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8,500000,Free,0.0,Everyone 10+,Health & Fitness,"February 17, 2017",1.9,2.3.3 and up,0.4707328206587227,0.495454714243374,194
Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5,100000,Free,0.0,Everyone,Health & Fitness,"August 27, 2016",2.3.4,5.0 and up,0.2475186824712288,0.5126753949820021,200
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3,500000,Free,0.0,Everyone,Health & Fitness,"July 15, 2018",3.3,4.0 and up,0.3915107709750566,0.5183584892290249,112
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606,,1000000,Free,0.0,Everyone,Health & Fitness,"March 22, 2018",Varies with device,Varies with device,0.229177692374865,0.5049347109876211,135
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0,100000,Free,0.0,Everyone,Health & Fitness,"January 29, 2018",10.2.0,4.0 and up,0.0979728029423151,0.4498761130468447,41
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873520,,50000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.2156735153683997,0.4729520986061961,255
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19.0,1000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",6.5.1,5.0 and up,0.3758419955914817,0.5599666010020583,139
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8,500000,Free,0.0,Everyone 10+,Health & Fitness,"February 17, 2017",1.9,2.3.3 and up,0.4707328206587227,0.495454714243374,194
Eat Fit - Diet and Health Free,HEALTH_AND_FITNESS,4.1,2469,3.6,100000,Free,0.0,Everyone,Health & Fitness,"July 23, 2014",1.0.9,2.3 and up,0.2450441468253968,0.5294246031746032,90
Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5,100000,Free,0.0,Everyone,Health & Fitness,"August 27, 2016",2.3.4,5.0 and up,0.2475186824712288,0.5126753949820021,200
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606,,1000000,Free,0.0,Everyone,Health & Fitness,"March 22, 2018",Varies with device,Varies with device,0.229177692374865,0.5049347109876211,135
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3,500000,Free,0.0,Everyone,Health & Fitness,"July 15, 2018",3.3,4.0 and up,0.3915107709750566,0.5183584892290249,112
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0,100000,Free,0.0,Everyone,Health & Fitness,"January 29, 2018",10.2.0,4.0 and up,0.0979728029423151,0.4498761130468447,41
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873523,,50000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.2156735153683997,0.4729520986061961,255
Happify,HEALTH_AND_FITNESS,3.7,1812,37.0,100000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",1.31.0-15160.950adac99,4.4 and up,0.2188967803030302,0.345,4
Binaural Beats Therapy,HEALTH_AND_FITNESS,4.3,13724,,1000000,Free,0.0,Everyone,Health & Fitness,"August 17, 2017",Varies with device,Varies with device,0.2832687528520862,0.4587343135259802,39
Brain Waves - Binaural Beats,HEALTH_AND_FITNESS,4.4,5038,10.0,500000,Free,0.0,Everyone,Health & Fitness,"July 15, 2018",5.2,4.4 and up,0.2217314889971139,0.5443468915343915,40
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15.0,100000,Free,0.0,Everyone,Health & Fitness,"August 2, 2018",3.0.0,4.1 and up,0.2580136784511784,0.5510479902042402,80
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31.0,5000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",3.48,4.1 and up,0.1919959420952724,0.5265805589912732,40
7 Cups: Anxiety & Stress Chat,HEALTH_AND_FITNESS,4.2,13799,,500000,Free,0.0,Teen,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.3246701388888889,0.5671585648148147,8
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111455,,5000000,Free,0.0,Everyone,Health & Fitness,"August 5, 2018",Varies with device,Varies with device,0.2895242009211789,0.5233274820417678,65
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39.0,10000000,Free,0.0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,0.2270075757575757,0.4214772727272727,11
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35.0,5000000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.2570176467051467,0.5669227994227994,12
Apartments & Rentals - Zillow,HOUSE_AND_HOME,4.2,27386,,1000000,Free,0.0,Everyone,House & Home,"June 21, 2018",Varies with device,Varies with device,0.292991686343959,0.462912321264594,44
"Homes.com 🏠 For Sale, Rent",HOUSE_AND_HOME,4.0,6000,18.0,1000000,Free,0.0,Everyone,House & Home,"July 28, 2018",9.6.8,4.1 and up,0.2383658008658008,0.4356902356902357,21
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481,7.5,1000000,Free,0.0,Everyone,House & Home,"August 3, 2018",2.1.0,5.0 and up,0.4664228723404255,0.5809655146534579,47
Gold Butterfly Keyboard Theme,HOUSE_AND_HOME,4.3,10054,9.1,1000000,Free,0.0,Everyone,House & Home,"July 12, 2018",6.7.12.2018,4.0.3 and up,0.4308228519166019,0.6011085211085211,39
"Apartment, Home Rental Search: Realtor.com Rentals",HOUSE_AND_HOME,3.9,10117,13.0,1000000,Free,0.0,Everyone,House & Home,"June 29, 2018",3.6,4.0.3 and up,-0.0037329004329004,0.4832718614718614,25
DIY On A Budget,HOUSE_AND_HOME,4.7,114,8.3,10000,Free,0.0,Teen,House & Home,"February 18, 2018",2.1,4.1 and up,0.4480626407472998,0.5576276837640475,33
Free Foreclosure Real Estate Search by USHUD.com,HOUSE_AND_HOME,3.4,287,27.0,100000,Free,0.0,Everyone,House & Home,"May 29, 2018",2.4.2,4.4 and up,-0.038367285742774,0.4402344652344652,37
Home Security Camera WardenCam - reuse old phones,HOUSE_AND_HOME,4.3,43800,,1000000,Free,0.0,Everyone,House & Home,"July 6, 2018",Varies with device,Varies with device,0.201457362082362,0.4872880938505938,26
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584,16.0,1000000,Free,0.0,Everyone,House & Home,"July 16, 2018",4.7.13,4.4 and up,0.0724030548758809,0.4129084844302236,69
Alfred Home Security Camera,HOUSE_AND_HOME,4.5,103305,,5000000,Free,0.0,Everyone,House & Home,"July 31, 2018",Varies with device,Varies with device,0.3375742424242424,0.4758727272727273,30
Home Decor Showpiece Art making: Medium Difficulty,HOUSE_AND_HOME,4.3,273,7.0,50000,Free,0.0,Everyone,House & Home,"May 30, 2018",1.2,4.0.3 and up,0.1918666666666666,0.6261428571428571,25
ColorSnap® Visualizer,HOUSE_AND_HOME,3.4,3280,77.0,1000000,Free,0.0,Everyone,House & Home,"June 29, 2018",5.0.1,4.0.3 and up,0.0243910256410256,0.3499928774928775,39
Apartment Decorating Ideas,HOUSE_AND_HOME,3.9,1478,5.7,100000,Free,0.0,Everyone,House & Home,"March 13, 2015",1.2,3.0 and up,0.245,0.2,1
Bathroom Decorating Ideas,HOUSE_AND_HOME,4.1,2427,5.3,500000,Free,0.0,Everyone,House & Home,"March 12, 2015",1.4,3.0 and up,0.36267578125,0.5115454545454545,40
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481,7.5,1000000,Free,0.0,Everyone,House & Home,"August 3, 2018",2.1.0,5.0 and up,0.4664228723404255,0.5809655146534579,47
Homesnap Real Estate & Rentals,HOUSE_AND_HOME,4.3,3834,30.0,500000,Free,0.0,Everyone,House & Home,"July 31, 2018",5.20.38,4.2 and up,0.2768480017006802,0.479021164021164,35
Apartments & Rentals - Zillow,HOUSE_AND_HOME,4.2,27387,,1000000,Free,0.0,Everyone,House & Home,"June 21, 2018",Varies with device,Varies with device,0.292991686343959,0.462912321264594,44
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584,16.0,1000000,Free,0.0,Everyone,House & Home,"July 16, 2018",4.7.13,4.4 and up,0.0724030548758809,0.4129084844302236,69
Aviary Effects: Classic,LIBRARIES_AND_DEMO,3.8,67007,0.2265625,5000000,Free,0.0,Everyone,Libraries & Demo,"March 6, 2013",1.2.0,2.2 and up,0.1062411935866176,0.538079149507721,37
Chakra Cleansing,LIBRARIES_AND_DEMO,4.6,539,99.0,50000,Free,0.0,Everyone,Libraries & Demo,"August 2, 2018",7.0,4.0.3 and up,0.4247351866883116,0.5723406385281385,40
Aviary Stickers: Free Pack,LIBRARIES_AND_DEMO,3.5,126862,0.609375,10000000,Free,0.0,Everyone,Libraries & Demo,"January 17, 2012",1.0,2.2 and up,0.0658285525785526,0.6725140465140466,37
Binaural Beats Meditation,LIBRARIES_AND_DEMO,4.3,411,95.0,50000,Free,0.0,Everyone,Libraries & Demo,"June 8, 2018",5.0,4.0.3 and up,0.3535181051587301,0.5643201884920634,40
Essential Resources,LIBRARIES_AND_DEMO,4.6,237,0.00830078125,50000,Free,0.0,Everyone,Libraries & Demo,"September 27, 2017",1.02,7.1 and up,0.2814196231286074,0.4845351355820105,40
Apk Installer,LIBRARIES_AND_DEMO,3.8,7750,0.28515625,1000000,Free,0.0,Everyone,Libraries & Demo,"June 29, 2011",1.0,1.6 and up,0.1939169472502805,0.4882034632034632,27
Cool Popular Ringtones 2018 🔥,LIBRARIES_AND_DEMO,4.5,60170,28.0,1000000,Free,0.0,Everyone,Libraries & Demo,"July 13, 2018",2.4,5.0 and up,0.2034848813657407,0.571494708994709,36
Barcode Scanner,LIBRARIES_AND_DEMO,4.2,3945,9.4,500000,Free,0.0,Everyone,Libraries & Demo,"January 9, 2018",4.2.2,3.2 and up,0.3862701337701337,0.4835820560820561,37
EyeCloud,LIBRARIES_AND_DEMO,3.1,1267,55.0,100000,Free,0.0,Everyone,Libraries & Demo,"August 2, 2018",5.1.2,4.4 and up,0.1171785544702211,0.3554406601628824,39
Easy Hair Style Design,LIFESTYLE,4.3,601,5.1,100000,Free,0.0,Everyone,Lifestyle,"December 20, 2017",1.0,2.3 and up,0.4902037037037037,0.554462962962963,30
Easy Makeup Tutorials,LIFESTYLE,4.3,7287,5.0,1000000,Free,0.0,Everyone,Lifestyle,"November 3, 2016",1.0,2.3 and up,0.2819713754609588,0.424363175404842,36
Horoscopes – Daily Zodiac Horoscope and Astrology,LIFESTYLE,4.6,161143,11.0,10000000,Free,0.0,Everyone 10+,Lifestyle,"June 25, 2018",5.2.4(881),4.0.3 and up,0.2643148577612863,0.4059456813028241,35
Entel,LIFESTYLE,3.2,16168,55.0,1000000,Free,0.0,Everyone,Lifestyle,"July 26, 2018",2.2.9,4.0.3 and up,0.0185771173271173,0.3313137325637325,39
Diary with lock,LIFESTYLE,4.6,815893,4.4,10000000,Free,0.0,Everyone,Lifestyle,"June 30, 2018",4.90,4.1 and up,0.2837633405132804,0.568277521195691,99
FOSSIL Q: DESIGN YOUR DIAL,LIFESTYLE,4.3,985,16.0,500000,Free,0.0,Everyone,Lifestyle,"May 31, 2018",3.7,7.0 and up,0.2397669880624426,0.3345156106519742,33
Family Locator - GPS Tracker,LIFESTYLE,4.4,726074,45.0,10000000,Free,0.0,Everyone,Lifestyle,"August 2, 2018",16.7.1,4.4 and up,0.3585753523851349,0.5448769579856536,115
HTC Speak,LIFESTYLE,3.5,6145,13.0,10000000,Free,0.0,Everyone,Lifestyle,"June 30, 2016",8.00.775375,5.0 and up,0.0041057206682206,0.3343441435108102,39
H&M,LIFESTYLE,3.7,41941,14.0,10000000,Free,0.0,Everyone,Lifestyle,"July 30, 2018",9.6.3,4.4 and up,0.0244729564521231,0.5764898448231781,37
Anime Avatar Creator: Make Your Own Avatar,LIFESTYLE,4.2,10944,36.0,1000000,Free,0.0,Everyone,Lifestyle,"June 15, 2018",2.0,4.1 and up,0.2021577150881997,0.5931982912212505,28
Beautiful Design Birthday Cake,LIFESTYLE,4.3,665,3.0,500000,Free,0.0,Everyone,Lifestyle,"August 4, 2018",2.0,2.3 and up,0.2703075396825396,0.519702380952381,36
H Pack,LIFESTYLE,4.3,9412,1.7,1000000,Free,0.0,Everyone,Lifestyle,"December 17, 2016",1.5.1,4.0.3 and up,0.1082424242424242,0.3794087752525252,40
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8,100000,Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.0553256570126039,0.3480000702345834,113
Big Days - Events Countdown,LIFESTYLE,4.6,39724,,1000000,Free,0.0,Everyone,Lifestyle,"June 29, 2018",Varies with device,Varies with device,0.2854137272192827,0.4996270576131687,36
DIY Garden Ideas,LIFESTYLE,4.1,3309,13.0,500000,Free,0.0,Everyone,Lifestyle,"August 5, 2018",10.0,4.0 and up,0.4440441176470588,0.6164950980392156,34
Brit + Co,LIFESTYLE,3.9,987,4.5,10000,Free,0.0,Everyone,Lifestyle,"August 29, 2017",2.0.4,4.0 and up,0.1231246617965367,0.5189175234487734,16
Homestyler Interior Design & Decorating Ideas,LIFESTYLE,4.1,78298,29.0,5000000,Free,0.0,Everyone,Lifestyle,"August 2, 2018",3.1.2.1,4.1 and up,0.1756305397541127,0.467069827997653,34
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8,100000,Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.0553256570126039,0.3480000702345834,113
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8,100000,Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.0553256570126039,0.3480000702345834,113
Etta Homes,LIFESTYLE,4.2,220,15.0,50000,Free,0.0,Everyone,Lifestyle,"July 26, 2018",9.1.0,5.0 and up,0.3446225071225071,0.4957799145299145,39
Home Scouting® MLS Mobile,LIFESTYLE,4.3,1533,7.7,100000,Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.2.6,2.2 and up,0.0909358089826839,0.369088372564935,32
Housing-Real Estate & Property,LIFESTYLE,4.1,28301,,1000000,Free,0.0,Everyone,Lifestyle,"July 13, 2018",12.1.0,4.1 and up,-0.0214269824091252,0.3785315312993884,21
Bed Time Fan - White Noise Sleep Sounds,LIFESTYLE,4.5,10097,7.5,500000,Free,0.0,Everyone,Lifestyle,"April 26, 2018",1.2,4.0 and up,0.78125,0.6,1
7 Day Food Journal Challenge,LIFESTYLE,4.5,3346,14.0,100000,Free,0.0,Teen,Lifestyle,"March 8, 2017",3.6.3,4.0.3 and up,0.1894113756613756,0.6002028218694886,9
Candy Crush Saga,GAME,4.4,22426677,74.0,500000000,Free,0.0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,0.0310678654100529,0.4562927910052909,240
Bubble Shooter,GAME,4.5,148897,46.0,10000000,Free,0.0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up,0.2536763602776534,0.5156595926423513,145
Hello Kitty Nail Salon,GAME,4.2,369203,24.0,50000000,Free,0.0,Everyone,Casual;Pretend Play,"April 17, 2018",1.5,4.1 and up,0.0574480889480889,0.517986901986902,65
Clash Royale,GAME,4.6,23133508,97.0,100000000,Free,0.0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up,0.069157108697088,0.4892359508587355,165
Helix Jump,GAME,4.2,1497361,33.0,100000000,Free,0.0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,0.0996654802587348,0.4872210639607329,273
Block Puzzle,GAME,4.6,59800,7.8,5000000,Free,0.0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,0.0352213544049602,0.5367871126316935,154
Angry Birds Rio,GAME,4.4,2610526,46.0,100000000,Free,0.0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,-0.038924252279907,0.4715201068772497,39
Candy Crush Soda Saga,GAME,4.4,6198563,67.0,100000000,Free,0.0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,-0.0570793657164475,0.4813299893037414,166
Clash of Clans,GAME,4.6,44891723,98.0,100000000,Free,0.0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up,0.0367556815629055,0.5339562645447385,33
Block Puzzle Classic Legend !,GAME,4.2,17039,4.9,5000000,Free,0.0,Everyone,Puzzle,"April 13, 2018",2.9,2.3.3 and up,0.1509069865319865,0.5360595538720538,72
8 Ball Pool,GAME,4.5,14198297,52.0,100000000,Free,0.0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,0.0012520071606734,0.4913517369146038,219
Bubble Witch 3 Saga,GAME,4.7,1732263,78.0,50000000,Free,0.0,Everyone,Puzzle,"July 17, 2018",4.8.4,3.0 and up,0.0653846777928719,0.5379182096492003,31
Granny,GAME,4.5,1135631,59.0,50000000,Free,0.0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,0.0646231638812587,0.5562993347603944,29
Angry Birds Classic,GAME,4.4,5566669,97.0,100000000,Free,0.0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,-0.0075373947642518,0.5348862663965559,273
Flow Free,GAME,4.3,1295557,11.0,100000000,Free,0.0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,0.0707686270933758,0.5201833408656908,154
Fishdom,GAME,4.6,2157930,,10000000,Free,0.0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up,0.0595148493038343,0.5635105308518095,123
Galaxy Attack: Alien Shooter,GAME,4.6,506275,,10000000,Free,0.0,Everyone,Arcade,"August 1, 2018",5.66,4.1 and up,0.077289750879303,0.4665821806717329,134
Bubble Shooter 2,GAME,4.3,23005,,5000000,Free,0.0,Everyone,Arcade,"July 25, 2018",3.5,4.1 and up,0.2848484848484848,0.5234848484848486,11
Barbie™ Fashion Closet,GAME,4.1,68057,85.0,10000000,Free,0.0,Everyone,Casual;Creativity,"July 30, 2018",1.3.7,4.1 and up,0.0486002886002885,0.4764935064935064,77
Candy Crush Jelly Saga,GAME,4.3,1300490,78.0,50000000,Free,0.0,Everyone,Puzzle,"July 20, 2018",2.1.10,4.0 and up,-0.0923343575184328,0.4811245660731962,73
Hill Climb Racing,GAME,4.4,8923587,63.0,100000000,Free,0.0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,0.0909991500098838,0.4986744997198817,44
Gardenscapes,GAME,4.6,4128732,,50000000,Free,0.0,Everyone,Casual,"July 13, 2018",2.6.2,4.0.3 and up,0.0195851379696963,0.5014648140223873,133
Farm Heroes Saga,GAME,4.4,7614130,70.0,100000000,Free,0.0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,-0.0118105318608159,0.4444343532729896,110
Cut the Rope FULL FREE,GAME,4.4,2123381,49.0,100000000,Free,0.0,Everyone,Puzzle,"July 5, 2018",3.7.2,4.1 and up,0.0130677538872691,0.5702711808929921,28
8 Ball Pool,GAME,4.5,14198602,52.0,100000000,Free,0.0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,0.0012520071606734,0.4913517369146038,219
Clash of Clans,GAME,4.6,44891723,98.0,100000000,Free,0.0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up,0.0367556815629055,0.5339562645447385,33
Candy Crush Saga,GAME,4.4,22428456,74.0,500000000,Free,0.0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,0.0310678654100529,0.4562927910052909,240
Cooking Fever,GAME,4.5,3197865,82.0,100000000,Free,0.0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up,-0.0423314426055936,0.477864596014649,135
Bubble Shooter,GAME,4.5,148895,46.0,10000000,Free,0.0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up,0.2536763602776534,0.5156595926423513,145
Candy Crush Soda Saga,GAME,4.4,6198880,67.0,100000000,Free,0.0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,-0.0570793657164475,0.4813299893037414,166
Fishdom,GAME,4.6,2157930,,10000000,Free,0.0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up,0.0595148493038343,0.5635105308518095,123
Garena Free Fire,GAME,4.5,5465624,53.0,100000000,Free,0.0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up,0.071157869556908,0.4941331211427365,222
Block Puzzle,GAME,4.6,59854,7.8,5000000,Free,0.0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,0.0352213544049602,0.5367871126316935,154
Bowmasters,GAME,4.7,1534466,,50000000,Free,0.0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up,0.0614154493473992,0.5005483488208554,312
Clash Royale,GAME,4.6,23134775,97.0,100000000,Free,0.0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up,0.069157108697088,0.4892359508587355,165
Granny,GAME,4.5,1137271,59.0,50000000,Free,0.0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,0.0646231638812587,0.5562993347603944,29
Galaxy Attack: Alien Shooter,GAME,4.6,506275,,10000000,Free,0.0,Everyone,Arcade,"August 1, 2018",5.66,4.1 and up,0.077289750879303,0.4665821806717329,134
Angry Birds Rio,GAME,4.4,2610622,46.0,100000000,Free,0.0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,-0.038924252279907,0.4715201068772497,39
Farm Heroes Saga,GAME,4.4,7614271,70.0,100000000,Free,0.0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,-0.0118105318608159,0.4444343532729896,110
Dream League Soccer 2018,GAME,4.6,9882639,74.0,100000000,Free,0.0,Everyone,Sports,"July 16, 2018",5.064,4.4 and up,-0.000518077601411,0.483123897707231,3
Angry Birds Classic,GAME,4.4,5566805,97.0,100000000,Free,0.0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,-0.0075373947642518,0.5348862663965559,273
Fruits Bomb,GAME,4.4,74673,17.0,10000000,Free,0.0,Everyone,Casual,"July 6, 2018",3.3.3179,4.0.3 and up,0.20532335280753,0.5306104619712214,79
Hill Climb Racing 2,GAME,4.6,2750410,,100000000,Free,0.0,Everyone,Racing,"August 2, 2018",1.17.2,4.2 and up,0.1621407674101837,0.4763280951585179,64
Flow Free,GAME,4.3,1295606,11.0,100000000,Free,0.0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,0.0707686270933758,0.5201833408656908,154
Farm Fruit Pop: Party Time,GAME,4.4,9305,14.0,1000000,Free,0.0,Everyone,Casual,"August 2, 2018",1.9.2,4.0.3 and up,0.1650277217741935,0.4705145929339477,31
